U235,U238,PU239,PU240,PU241,PU242
1.214E+05,3.403E+06,6.598E+01,2.066E-01,8.656E-04,0.000E+00
1.177E+05,3.401E+06,1.534E+03,3.130E+01,1.369E+00,9.241E-03
1.023E+05,3.393E+06,6.846E+03,6.183E+02,1.311E+02,4.772E+00
8.548E+04,3.382E+06,1.120E+04,1.796E+03,6.593E+02,5.242E+01
7.080E+04,3.371E+06,1.394E+04,3.122E+03,1.425E+03,1.874E+02
5.798E+04,3.359E+06,1.562E+04,4.458E+03,2.256E+03,4.318E+02
4.683E+04,3.347E+06,1.660E+04,5.730E+03,3.040E+03,7.896E+02
