U235,U238,PU239,PU240,PU241,PU242
1.214E+05,3.403E+06,7.207E+01,2.373E-01,1.092E-03,0.000E+00
1.177E+05,3.401E+06,1.672E+03,3.456E+01,1.651E+00,1.117E-02
1.025E+05,3.392E+06,7.438E+03,6.640E+02,1.526E+02,5.511E+00
8.596E+04,3.381E+06,1.217E+04,1.892E+03,7.490E+02,5.846E+01
7.168E+04,3.368E+06,1.522E+04,3.250E+03,1.602E+03,2.039E+02
5.928E+04,3.356E+06,1.719E+04,4.604E+03,2.518E+03,4.601E+02
4.854E+04,3.343E+06,1.842E+04,5.890E+03,3.390E+03,8.270E+02
