MWd/kgU,k-eff,Left mgLi6/kgU,Left %,g T made,g T tot
0.001,1.1351076598478622,69.99607604404069,0.9999439434862956,0.00693715311360958,0.00693715311360958
0.002,1.1351010020226893,69.99215228788512,0.9998878898269302,0.00693679988102358,0.013873952994633159
0.003,1.1350943441284844,69.98822873152518,0.9998318390217883,0.0069364466627578865,0.020810399657391045
0.004,1.1350876861652517,69.98430537495281,0.9997757910707544,0.006936093458762248,0.027746493116153292
0.005,1.1350810281329953,69.98038221815989,0.9997197459737127,0.006935740269112036,0.034682233385265326
0.006,1.1350743700317192,69.97645926113833,0.9996637037305476,0.006935387093757003,0.04161762047902233
0.007,1.1350677118614267,69.97253650388005,0.9996076643411436,0.0069350339326971515,0.04855265441171948
0.008,1.1350610536221222,69.96861394637695,0.999551627805385,0.006934680785957602,0.05548733519767708
0.009000000000000001,1.1350543953138093,69.96469158862094,0.9994955941231563,0.006934327653513233,0.062421662851190315
0.010000000000000002,1.135047736936492,69.96076943060392,0.9994395632943417,0.006933974535389166,0.06935563738657949
0.011000000000000003,1.1350410784901739,69.95684747231782,0.999383535318826,0.006933621431535157,0.07628925881811464
0.012000000000000004,1.1350344199748594,69.95292571375452,0.9993275101964932,0.006933268342026572,0.08322252716014121
0.013000000000000005,1.135027761390552,69.94900415490595,0.9992714879272279,0.006932915266813168,0.09015544242695438
0.014000000000000005,1.1350211027372559,69.94508279576401,0.9992154685109144,0.006932562205894947,0.09708800463284932
0.015000000000000006,1.1350144440149745,69.9411616363206,0.9991594519474372,0.006932209159297026,0.10402021379214635
0.016000000000000007,1.1350077852237122,69.93724067656764,0.9991034382366806,0.006931856126994284,0.11095206991914064
0.017000000000000008,1.1350011263634725,69.93331991649703,0.9990474273785289,0.006931503109011846,0.11788357302815249
0.01800000000000001,1.1349944674342594,69.92939935610067,0.9989914193728667,0.006931150105324588,0.12481472313347708
0.01900000000000001,1.1349878084360772,69.9254789953705,0.9989354142195785,0.00693079711593251,0.13174552024940958
0.02000000000000001,1.134981149368929,69.92155883429841,0.9988794119185487,0.006930444140835612,0.13867596439024518
0.02100000000000001,1.1349744902328194,69.91763887287631,0.9988234124696616,0.0069300911800590165,0.1456060555703042
0.022000000000000013,1.1349678310277516,69.9137191110961,0.9987674158728014,0.006929738233602724,0.15253579380390692
0.023000000000000013,1.1349611717537302,69.9097995489497,0.9987114221278529,0.006929385301416489,0.1594651791053234
0.024000000000000014,1.1349545124107587,69.90588018642903,0.9986554312347005,0.006929032383550556,0.16639421148887396
0.025000000000000015,1.1349478529988413,69.90196102352597,0.9985994431932281,0.0069286794800049265,0.17332289096887887
0.026000000000000016,1.1349411935179814,69.89804206023246,0.9985434580033208,0.006928326590729353,0.1802512175596082
0.027000000000000017,1.1349345339681831,69.89412329654039,0.9984874756648626,0.006927973715774082,0.1871791912753823
0.028000000000000018,1.1349278743494506,69.89020473244167,0.9984314961777382,0.006927620855113993,0.1941068121304963
0.02900000000000002,1.1349212146617875,69.88628636792822,0.9983755195418317,0.006927268008774206,0.20103408013927052
0.03000000000000002,1.1349145549051978,69.88236820299194,0.9983195457570277,0.006926915176729598,0.20796099531600012
0.03100000000000002,1.134907895079685,69.87845023762476,0.9982635748232109,0.006926562358955048,0.21488755767495518
0.03200000000000002,1.1349012351852537,69.87453247181857,0.9982076067402653,0.006926209555525924,0.2218137672304811
0.03300000000000002,1.1348945752219068,69.87061490556529,0.9981516415080756,0.006925856766366856,0.22873962399684797
0.03400000000000002,1.1348879151896494,69.86669753885684,0.9980956791265263,0.006925503991502967,0.23566512798835093
0.035000000000000024,1.1348812550884848,69.8627803716851,0.9980397195955015,0.006925151230984506,0.24259027921933543
0.036000000000000025,1.1348745949184167,69.85886340404201,0.9979837629148859,0.0069247984847361005,0.24951507770407153
0.037000000000000026,1.1348679346794492,69.85494663591948,0.9979278090845639,0.006924445752782875,0.2564395234568544
0.03800000000000003,1.1348612743715862,69.8510300673094,0.9978718581044199,0.006924093035149953,0.26336361649200435
0.03900000000000003,1.134854613994832,69.8471136982037,0.9978159099743386,0.006923740331787087,0.27028735682379146
0.04000000000000003,1.13484795354919,69.84319752859429,0.9977599646942041,0.006923387642744523,0.277210744466536
0.04100000000000003,1.1348412930346639,69.83928155847308,0.9977040222639011,0.00692303496799714,0.2841337794345331
0.04200000000000003,1.1348346324512577,69.83536578783196,0.9976480826833137,0.00692268230757006,0.29105646174210315
0.04300000000000003,1.134827971798976,69.83145021666287,0.9975921459523267,0.006922329661413037,0.2979787914035162
0.04400000000000003,1.134821311077822,69.82753484495773,0.9975362120708247,0.006921977029551192,0.3049007684330674
0.04500000000000003,1.1348146502877998,69.82361967270842,0.9974802810386917,0.0069216244120096524,0.31182239284507707
0.046000000000000034,1.1348079894289134,69.81970469990686,0.9974243528558123,0.006921271808763293,0.31874366465384035
0.047000000000000035,1.1348013285011667,69.81578992654498,0.9973684275220711,0.006920919219812111,0.3256645838736525
0.048000000000000036,1.1347946675045635,69.81187535261468,0.9973125050373526,0.00692056664515611,0.3325851505188086
0.04900000000000004,1.1347880064391074,69.80796097810787,0.997256585401541,0.006920214084795289,0.33950536460360387
0.05000000000000004,1.134781345304803,69.80404680301648,0.9972006686145211,0.006919861538729646,0.3464252261423335
0.05100000000000004,1.1347746841016537,69.8001328273324,0.9971447546761772,0.006919509006959184,0.3533447351492927
0.05200000000000004,1.1347680228296637,69.79621905104756,0.9970888435863937,0.006919156489509025,0.36026389163880174
0.05300000000000004,1.1347613614888363,69.79230547415386,0.9970329353450552,0.006918803986328924,0.3671826956251307
