MWd/kgU,k-eff,Left mgLi6/kgU,Left %,g T made,g T tot,g T net
0.005,1.0734088475951957,69.98174661894163,0.9997392374134518,0.03227011224287606,0.03227011224287606,0.03226923486944696
0.01,1.0733841045765613,69.96349759845278,0.999478537120754,0.03226240320160895,0.06453251544448502,0.06452988355764877
0.015,1.0733593591622337,69.94525293768308,0.9992178991097583,0.03225469566369731,0.09678721110818234,0.09678194780136476
0.02,1.0733346113525628,69.92701263578223,0.9989573233683177,0.03224698962904065,0.129034200737223,0.12902542933720654
0.025,1.0733098611478982,69.90877669190003,0.9986968098842861,0.032239285097463106,0.1612734858346861,0.1612603299015626
0.030000000000000002,1.07328510854859,69.8905451051863,0.9984363586455186,0.032231582068889306,0.1935050679035754,0.19348665123069891
0.035,1.0732603535549885,69.87231787479101,0.9981759696398715,0.032223880543118255,0.22572894844669367,0.22570439506063328
0.04,1.0732355961674442,69.85409499986415,0.9979156428552021,0.03221618052004948,0.25794512896674315,0.25791356312723573
0.045,1.0732108363863075,69.83587647955582,0.9976553782793689,0.03220848199950709,0.29015361096625025,0.2901141571661533
0.049999999999999996,1.0731860742119292,69.81766231301621,0.9973951759002316,0.0322007849813655,0.3223543959476157,0.3223061789128602
0.05499999999999999,1.0731613096446604,69.79945249939557,0.997135035705651,0.03219308946549907,0.3545474854131148,0.3544896301026579
0.05999999999999999,1.0731365426848525,69.78124703784422,0.9968749576834889,0.03218539545175707,0.3867328808648719,0.38666451247064987
0.06499999999999999,1.0731117733328566,69.7630459275126,0.9966149418216085,0.032177702939988756,0.4189105838048607,0.4188308277517417
0.06999999999999999,1.0730870015890246,69.74484916755115,0.9963549881078736,0.03217001193009364,0.4510805957349543,0.45098857768069134
0.075,1.0730622274537083,69.72665675711048,0.9960950965301496,0.032162322421895845,0.48324291815685017,0.4831377639920337
0.08,1.0730374509272598,69.70846869534122,0.9958352670763032,0.03215463441524465,0.5153975525720949,0.5152783884201058
0.085,1.073012672010031,69.69028498139413,0.9955754997342018,0.03214694791001442,0.5475445004821092,0.5474104526990717
0.09000000000000001,1.0729878907023749,69.67210561441999,0.9953157944917141,0.03213926290607955,0.5796837633881888,0.5795339585629232
0.09500000000000001,1.0729631070046437,69.65393059356971,0.9950561513367102,0.03213157940326418,0.611815342791453,0.6116489077454287
0.10000000000000002,1.0729383209171903,69.63575991799425,0.9947965702570607,0.03212389740146781,0.6439392401929208,0.6437553019802089
0.10500000000000002,1.072913532440368,69.61759358684465,0.9945370512406378,0.03211621690053969,0.6760554570934605,0.6758531430006869
0.11000000000000003,1.07288874157453,69.59943159927204,0.9942775942753148,0.0321085379003291,0.7081639949937896,0.7079424325400877
0.11500000000000003,1.0728639483200297,69.58127395442763,0.9940181993489662,0.032100860400685285,0.7402648553944748,0.7400231723314388
0.12000000000000004,1.0728391526772207,69.56312065146271,0.9937588664494673,0.03209318440148263,0.7723580397959575,0.7720953641075945
0.12500000000000003,1.072814354646457,69.54497168952864,0.9934995955646948,0.03208550990259554,0.804443549698553,0.8041590096012367
0.13000000000000003,1.0727895542280925,69.52682706777686,0.9932403866825267,0.03207783690384812,0.8365213866024012,0.8362141105448242
0.13500000000000004,1.0727647514224816,69.50868678535892,0.9929812397908417,0.032070165405114766,0.8685915520075159,0.8682606686706431
0.14000000000000004,1.072739946229979,69.4905508414264,0.9927221548775199,0.03206249540626986,0.9006540474137857,0.9002986857108068
0.14500000000000005,1.0727151386509388,69.47241923513099,0.9924631319304427,0.03205482690716268,0.9327088743209484,0.932328163397231
0.15000000000000005,1.0726903286857163,69.45429196562445,0.9922041709374921,0.03204715990764245,0.9647560342285908,0.9643491034616334
0.15500000000000005,1.0726655163346666,69.43616903205864,0.991945271886552,0.03203949440755847,0.9967955286361493,0.9963615076355339
0.16000000000000006,1.0726407015981447,69.41805043358549,0.991686434765507,0.03203183040678509,1.0288273590429344,1.0283653776502797
0.16500000000000006,1.0726158844765066,69.39993616935699,0.9914276595622428,0.03202416790519671,1.0608515269481311,1.0603607152370453
0.17000000000000007,1.0725910649701074,69.38182623852522,0.991168946264646,0.03201650690264258,1.0928680338507737,1.0923475221268075
0.17500000000000007,1.0725662430793033,69.36372064024235,0.990910294860605,0.032008847398971974,1.1248768812497456,1.1243258000503453
0.18000000000000008,1.07254141880445,69.34561937366063,0.990651705338009,0.032001189394034145,1.1568780706437798,1.15629555073824
0.18500000000000008,1.0725165921459043,69.32752243793236,0.990393177684748,0.03199353288772859,1.1888716035315083,1.188256775920925
0.19000000000000009,1.0724917631040225,69.30942983220997,0.9901347118887139,0.031985877879854345,1.2208574814113626,1.220209477328586
