MWd/kgU,k-eff,Left mgLi6/kgU,Left %,g T made,g T tot,g T net
0.001,1.0885650094534876,105.99432676369348,0.9999464789027687,0.010029701993637934,0.010029701993637934,0.010029647454690765
0.002,1.0885600976645748,105.98865379044273,0.9998929602871955,0.010029236937925092,0.020058938931563026,0.02005877531754694
0.003,1.0885551857998186,105.98298108023931,0.999839444153201,0.010028771897110393,0.030087710828673418,0.030087383606291998
0.004,1.0885502738592157,105.97730863307486,0.9997859305007062,0.010028306871118461,0.04011601769979188,0.04011547233857394
0.005,1.0885453618427636,105.97163644894094,0.9997324193296315,0.01002784185999955,0.050143859559791434,0.050143041532090905
0.006,1.0885404497504592,105.96596452782917,0.9996789106398979,0.010027376863728527,0.06017123642351996,0.06017009120451584
0.007,1.0885355375822994,105.96029286973112,0.9996254044314257,0.010026911882355646,0.0701981483058756,0.07019662137357181
0.008,1.0885306253382814,105.9546214746384,0.9995719007041358,0.010026446915805537,0.08022459522168114,0.08022263205690644
0.009000000000000001,1.0885257130184023,105.9489503425426,0.9995183994579491,0.010025981964128444,0.09025057718580959,0.0902481232722175
0.010000000000000002,1.088520800622659,105.94327947343531,0.9994649006927859,0.010025517027324364,0.10027609421313395,0.10027309503720265
0.011000000000000003,1.0885158881510486,105.93760886730813,0.9994114044085672,0.010025052105368179,0.11030114631850213,0.11029754736953434
0.012000000000000004,1.0885109756035685,105.93193852415264,0.9993579106052136,0.010024587198285011,0.12032573351678715,0.12032148028691006
0.013000000000000005,1.0885060629802155,105.92626844396045,0.9993044192826458,0.010024122306049738,0.13034985582283687,0.13034489380700207
0.014000000000000005,1.0885011502809863,105.92059862672315,0.9992509304407844,0.010023657428687478,0.14037351325152433,0.14036778794750762
0.015000000000000006,1.0884962375058786,105.91492907243233,0.9991974440795502,0.010023192566173116,0.15039670581769746,0.1503901627260988
0.016000000000000007,1.0884913246548893,105.90925978107958,0.999143960198864,0.010022727718531766,0.16041943353622923,0.16041201816047274
0.017000000000000008,1.088486411728015,105.90359075265651,0.9990904787986463,0.010022262885738313,0.17044169642196755,0.17043335426830125
0.01800000000000001,1.0884814987252536,105.8979219871547,0.999036999878818,0.010021798067817873,0.1804634944897854,0.18045417106728123
0.01900000000000001,1.0884765856466014,105.89225348456574,0.9989835234392994,0.01002133326477045,0.19048482775455586,0.19047446857510952
0.02000000000000001,1.088471672492056,105.88658524488125,0.9989300494800117,0.0100208684765458,0.20050569623110165,0.20049424680943256
0.02100000000000001,1.0884667592616144,105.88091726809279,0.9988765780008754,0.010020403703219289,0.21052609993432095,0.21051350578797212
0.022000000000000013,1.088461845955273,105.87524955419197,0.998823109001811,0.01001993894474067,0.22054603887906163,0.2205322455283996
0.023000000000000013,1.08845693257303,105.86958210317037,0.9987696424827394,0.010019474201135067,0.23056551308019668,0.23055046604841134
0.024000000000000014,1.0884520191148819,105.86391491501959,0.9987161784435811,0.01001900947240248,0.24058452255259916,0.24056816736570372
0.025000000000000015,1.0884471055808256,105.85824798973123,0.9986627168842569,0.01001854475851779,0.2506030673111169,0.25058534949794786
0.026000000000000016,1.0884421919708585,105.85258132729687,0.9986092578046875,0.01001808005948099,0.26062114737059794,0.2606020124628147
0.027000000000000017,1.0884372782849772,105.84691492770813,0.9985558012047937,0.010017615375317207,0.27063876274591514,0.27061815627800034
0.028000000000000018,1.0884323645231795,105.84124879095657,0.9985023470844959,0.010017150706026441,0.2806559134519416,0.2806337809612007
0.02900000000000002,1.088427450685462,105.8355829170338,0.9984488954437152,0.010016686051583568,0.29067259950352514,0.29064888653008647
0.03000000000000002,1.088422536771822,105.82991730593142,0.9983954462823719,0.010016221412013712,0.30068882091553883,0.3006634730023534
0.03100000000000002,1.0884176227822566,105.82425195764101,0.9983419996003869,0.010015756787291748,0.3107045777028306,0.3106775403956721
0.03200000000000002,1.0884127087167625,105.81858687215416,0.9982885553976807,0.010015292177467928,0.32071986988029855,0.32069108872776314
0.03300000000000002,1.0884077945753372,105.81292204946247,0.9982351136741743,0.010014827582466872,0.3307346974627654,0.33070411801627175
0.03400000000000002,1.0884028803579777,105.80725748955753,0.998181674429788,0.01001436300236396,0.34074906046512937,0.3407166282789185
0.035000000000000024,1.0883979660646814,105.80159319243094,0.9981282376644428,0.010013898437083817,0.3507629589022132,0.3507286195333484
0.036000000000000025,1.0883930516954448,105.79592915807429,0.9980748033780593,0.010013433886701813,0.36077639278891505,0.3607400917972816
0.037000000000000026,1.088388137250265,105.79026538647916,0.9980213715705581,0.010012969351167703,0.37078936214008273,0.3707510450883882
0.03800000000000003,1.08838322272914,105.78460187763716,0.99796794224186,0.01001250483050661,0.3808018669705893,0.38076147942436306
0.03900000000000003,1.0883783081320657,105.77893863153987,0.9979145153918856,0.01001204032469341,0.3908139072952827,0.390771394822876
0.04000000000000003,1.08837339345904,105.7732756481789,0.9978610910205556,0.010011575833753223,0.40082548312903593,0.4007807913016218
0.04100000000000003,1.0883684787100596,105.76761292754583,0.9978076691277908,0.010011111357660935,0.41083659448669685,0.41078966887827
0.04200000000000003,1.088363563885122,105.76195046963224,0.9977542497135117,0.010010646896466783,0.42084724138316365,0.4207980275705404
0.04300000000000003,1.0883586489842239,105.75628827442974,0.997700832777639,0.010010182450120525,0.4308574238332842,0.4308058673961023
0.04400000000000003,1.0883537340073626,105.7506263419299,0.9976474183200934,0.010009718018647286,0.4408671418519315,0.44081318837265016
0.04500000000000003,1.0883488189545352,105.74496467212434,0.9975940063407956,0.010009253602021937,0.4508763954539534,0.45081999051785304
