U235,U238,PU239,PU240,PU241,PU242
1.214E+05,3.403E+06,7.323E+01,2.435E-01,1.132E-03,0.000E+00
1.177E+05,3.401E+06,1.698E+03,3.517E+01,1.702E+00,1.150E-02
1.025E+05,3.392E+06,7.550E+03,6.726E+02,1.568E+02,5.652E+00
8.606E+04,3.380E+06,1.237E+04,1.909E+03,7.674E+02,5.962E+01
7.187E+04,3.368E+06,1.548E+04,3.273E+03,1.636E+03,2.069E+02
5.954E+04,3.355E+06,1.748E+04,4.631E+03,2.568E+03,4.650E+02
4.888E+04,3.342E+06,1.877E+04,5.918E+03,3.456E+03,8.328E+02
