U235,U238,PU239,PU240,PU241,PU242
1.214E+05,3.403E+06,8.138E+01,2.904E-01,1.528E-03,0.000E+00
1.177E+05,3.400E+06,1.881E+03,3.970E+01,2.156E+00,1.457E-02
1.028E+05,3.390E+06,8.323E+03,7.278E+02,1.882E+02,6.689E+00
8.680E+04,3.378E+06,1.363E+04,2.014E+03,8.905E+02,6.732E+01
7.312E+04,3.364E+06,1.714E+04,3.406E+03,1.865E+03,2.259E+02
6.132E+04,3.350E+06,1.949E+04,4.779E+03,2.902E+03,4.946E+02
5.113E+04,3.336E+06,2.107E+04,6.071E+03,3.896E+03,8.672E+02
