EFPD,Burnup,k-eff,std-dev,rho,Pf11/FA%,Pf12/FA%,Pf1tot/FA%,Pf21/FA%,Pf22/FA%,Pf2tot/FA%,Pf31/FA%,Pf32/FA%,Pf3tot/FA%,Pf41/FA%,Pf42/FA%,Pf4tot/FA%,Pf51/FA%,Pf52/FA%,Pf5tot/FA%,U235_11,U235_12,U235_1tot,U235_21,U235_22,U235_2tot,U235_31,U235_32,U235_3tot,U235_41,U235_42,U235_4tot,U235_51,U235_52,U235_5tot,U238_11,U238_12,U238_1tot,U238_21,U238_22,U238_2tot,U238_31,U238_32,U238_3tot,U238_41,U238_42,U238_4tot,U238_51,U238_52,U238_5tot,PU239_11,PU239_12,PU239_1tot,PU239_21,PU239_22,PU239_2tot,PU239_31,PU239_32,PU239_3tot,PU239_41,PU239_42,PU239_4tot,PU239_51,PU239_52,PU239_5tot,PU240_11,PU240_12,PU240_1tot,PU240_21,PU240_22,PU240_2tot,PU240_31,PU240_32,PU240_3tot,PU240_41,PU240_42,PU240_4tot,PU240_51,PU240_52,PU240_5tot,PU241_11,PU241_12,PU241_1tot,PU241_21,PU241_22,PU241_2tot,PU241_31,PU241_32,PU241_3tot,PU241_41,PU241_42,PU241_4tot,PU241_51,PU241_52,PU241_5tot,PU242_11,PU242_12,PU242_1tot,PU242_21,PU242_22,PU242_2tot,PU242_31,PU242_32,PU242_3tot,PU242_41,PU242_42,PU242_4tot,PU242_51,PU242_52,PU242_5tot,PU_11tot,PU_12tot,PU_1tot,PU_21tot,PU_22tot,PU_2tot,PU_31tot,PU_32tot,PU_3tot,PU_41tot,PU_42tot,PU_4tot,PU_51tot,PU_52tot,PU_5tot,PU_11qual,PU_12qual,PU_1qual,PU_21qual,PU_22qual,PU_2qual,PU_31qual,PU_32qual,PU_3qual,PU_41qual,PU_42qual,PU_4qual,PU_51qual,PU_52qual,PU_5qual,U235,U238,PU239,PU240,PU241,PU242,PUtot,PUqual
0,0.000,1.13539,0.00020,0.119245,3.263675,1.19731125,4.46098625,3.3971,1.1493875,4.5464875,3.7525000000000004,1.1452275,4.8977275,4.0185249999999995,1.213455,5.231979999999999,4.3045800000000005,1.30278,5.607360000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.52574,0.100,1.10324,0.00018,0.093579,3.26885,1.19954375,4.46839375,3.4016249999999997,1.153195,4.554819999999999,3.7642750000000005,1.14429,4.908565,4.0028,1.2104949999999999,5.213295,4.25291,1.29327,5.54618,4.3825,1.40125,5.78375,4.3825,1.402,5.7845,4.38,1.402,5.782,4.38,1.40175,5.78175,4.378,1.402,5.78,122.7625,39.2875,162.05,122.75,39.275,162.025,122.75,39.275,162.025,122.75,39.275,162.025,122.8,39.29,162.09,0.00228125,0.0007756250000000001,0.0030568749999999997,0.0024242499999999998,0.00079225,0.0032164999999999997,0.0027400000000000002,0.00085375,0.00359375,0.0029275000000000004,0.000909,0.0038365000000000005,0.003137,0.0009693000000000001,0.0041063,6.7475e-06,2.475e-06,9.2225e-06,7.5525e-06,2.535e-06,1.00875e-05,9.545e-06,2.8800000000000004e-06,1.2425e-05,1.08825e-05,3.245e-06,1.41275e-05,1.2479999999999999e-05,3.7130000000000003e-06,1.6193e-05,2.72375e-08,1.02125e-08,3.745e-08,3.25e-08,1.09125e-08,4.34125e-08,4.6575e-08,1.375e-08,6.0325e-08,5.64e-08,1.64075e-08,7.28075e-08,6.978e-08,2.028e-08,9.006e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0022880247374999995,0.0007781102125000001,0.0030661349499999995,0.0024318349999999994,0.0007947959125,0.0032266309124999995,0.0027495915750000003,0.0008566437500000001,0.003606235325,0.0029384389000000006,0.0009122614075,0.0038507003075,0.00314954978,0.0009730332800000001,0.004122583060000001,99.70390453438007,99.68060919133612,99.69799274490512,99.68809561503969,99.67967720266805,99.68602195991018,99.6511636460044,99.66219913470448,99.65378507294169,99.6277309016022,99.64249200139488,99.63122792307826,99.60153733464723,99.61632555877226,99.6050277274462,121.443,3402.79,0.0711483,0.00023653300000000003,1.09584e-06,0.0,0.07138592884,99.66712089642678
35.2574,1.000,1.09126,0.00022,0.083628,3.2760749999999996,1.20458125,4.480656249999999,3.404675,1.151005,4.555680000000001,3.7512999999999996,1.1433475,4.8946475,3.9907,1.2065424999999999,5.1972425,4.27278,1.29178,5.56456,4.26,1.35625,5.61625,4.255,1.3585,5.6135,4.24,1.35925,5.5992500000000005,4.23,1.35675,5.58675,4.22,1.354,5.574,122.7,39.2625,161.9625,122.7,39.25,161.95,122.675,39.25,161.925,122.675,39.25,161.925,122.7,39.26,161.96,0.0531875,0.018025,0.0712125,0.0565,0.01838,0.07488,0.063575,0.01982,0.08339500000000001,0.067425,0.0209525,0.0883775,0.07159,0.02228,0.09387000000000001,0.00101325,0.000386375,0.001399625,0.00111875,0.00038250000000000003,0.00150125,0.001385,0.00041375,0.00179875,0.00155825,0.00046100000000000004,0.00201925,0.0017569999999999999,0.0005204,0.0022773999999999997,4.26625e-05,1.6725e-05,5.93875e-05,5.005e-05,1.7194999999999997e-05,6.7245e-05,7.000000000000001e-05,2.0632500000000003e-05,9.06325e-05,8.39e-05,2.4344999999999998e-05,0.000108245,0.0001008,2.9389999999999998e-05,0.00013019,2.64625e-07,1.191e-07,3.83725e-07,3.2225e-07,1.1735e-07,4.396e-07,4.9575e-07,1.39e-07,6.347499999999999e-07,6.3225e-07,1.7315e-07,8.053999999999999e-07,8.09e-07,2.226e-07,1.0316e-06,0.054243677125,0.0184282191,0.07267189622499999,0.05766912225,0.01877981235,0.07644893459999999,0.06503049575,0.0202545215,0.08528501725000003,0.06906778224999999,0.021438018149999998,0.0905058004,0.073448609,0.0228300126,0.09627862160000002,98.05290278797631,97.81194754733515,97.99180109394484,97.97270670267571,97.87105247619793,97.94773516699865,97.76182584306994,97.85469382725235,97.78388125963589,97.62149268952388,97.73524704288022,97.64843756909087,97.4695109610585,97.59083531999451,97.49827992967444,117.70200000000001,3400.8599999999997,1.6501800000000002,0.0347514,0.00166978,1.16204e-05,1.6866128004000003,97.83988355884887
176.287,5.000,1.05754,0.00021,0.054409,3.3171749999999998,1.20987,4.527044999999999,3.43995,1.161245,4.601195000000001,3.72785,1.1370099999999999,4.86486,3.9315749999999996,1.1932224999999999,5.1247975,4.15536,1.26483,5.42019,3.75,1.17,4.92,3.73,1.1815,4.9115,3.675,1.18675,4.86175,3.6375,1.177,4.814500000000001,3.598,1.164,4.762,122.425,39.1625,161.5875,122.4,39.15,161.55,122.35,39.15,161.5,122.325,39.15,161.475,122.3,39.14,161.44,0.2415,0.07952500000000001,0.321025,0.25425,0.0818,0.33604999999999996,0.27875,0.08785,0.3666,0.2915,0.09185,0.38334999999999997,0.3049,0.09597,0.40087,0.020425000000000002,0.00767375,0.028098750000000002,0.0220625,0.007485,0.029547499999999997,0.02595,0.0078025,0.033752500000000005,0.02845,0.0084825,0.0369325,0.03118,0.009292,0.040472,0.004215,0.00161,0.005825,0.0048,0.0016205,0.006420499999999999,0.006265,0.00186675,0.00813175,0.0072125,0.00211625,0.00932875,0.008338,0.002462,0.0108,0.000140375,6.25375e-05,0.0002029125,0.00016535,5.9375e-05,0.000224725,0.0002361,6.6675e-05,0.000302775,0.00028875,7.942499999999999e-05,0.000368175,0.0003549,9.855999999999999e-05,0.00045346,0.26628037500000007,0.08887128750000002,0.3551516625,0.28127785,0.090964875,0.37224272499999994,0.3112011,0.097585925,0.40878702499999997,0.32745124999999997,0.102528175,0.42997942499999997,0.3447729,0.10782256,0.45259546,90.69387858568246,89.4833441003091,90.39096079129293,90.39104927743155,89.92481988239966,90.2771169000012,89.57230549634946,90.02322824731127,89.67995009137093,89.02088478819367,89.58513111152129,89.15542877429542,88.43502491060057,89.00734688547554,88.57137011493663,102.47300000000001,3392.2400000000002,7.313070000000001,0.666192,0.152924,0.005659460000000001,8.137845460000001,89.86494073825776
352.574,10.000,1.01160,0.00019,0.011467,3.3616374999999996,1.20935125,4.57098875,3.459475,1.165685,4.62516,3.7123749999999998,1.137055,4.84943,3.876525,1.1837024999999999,5.0602275,4.05485,1.23808,5.29293,3.185,0.96675,4.15175,3.155,0.988,4.143,3.0725,1.001,4.073499999999999,3.015,0.986,4.001,2.95,0.9662000000000001,3.9162000000000003,122.05,39.0375,161.0875,122.0,39.05,161.05,121.9,39.025,160.925,121.85,39.0,160.85,121.8,38.99,160.79,0.40025,0.12825,0.5285,0.4195,0.13325,0.55275,0.452,0.14382499999999998,0.595825,0.467,0.148875,0.6158750000000001,0.48210000000000003,0.1539,0.636,0.0602375,0.0222375,0.08247499999999999,0.06395,0.0216925,0.08564250000000001,0.0726,0.0220225,0.0946225,0.07795,0.023475000000000003,0.10142500000000002,0.08375,0.02524,0.10899,0.0218125,0.0080275,0.02984,0.02429,0.00809,0.03238,0.029925,0.0089725,0.0388975,0.033350000000000005,0.0099575,0.043307500000000006,0.03725,0.011130000000000001,0.04838,0.00158,0.000688875,0.002268875,0.0018134999999999998,0.00064875,0.00246225,0.00242975,0.0006879999999999999,0.00311775,0.00287,0.00079975,0.0036697500000000003,0.003407,0.0009533,0.0043603,0.48388000000000003,0.159203875,0.6430838749999999,0.5095535,0.16368125000000003,0.6732347499999999,0.5569547499999999,0.17550799999999997,0.7324627500000002,0.5811700000000001,0.18310725,0.7642772500000001,0.6065070000000001,0.1912233,0.7977303,82.71678928659998,80.55708443026278,82.18212593186233,82.32697842326664,81.40822482721752,82.10360502038851,81.15560554964296,81.94783143788318,81.34543360737456,80.35514565445567,81.30480906681741,80.58266813515644,79.48795314810874,80.48182412917254,79.72619317581393,86.0002,3380.7900000000004,11.9218,1.89555,0.74544,0.0595103,14.6223003,81.53163151764844
528.861,15.000,0.97036,0.00021,-0.030545,3.38125,1.1982075,4.5794575,3.4624750000000004,1.1619249999999999,4.6244000000000005,3.7106,1.1466825,4.8572825,3.863825,1.182965,5.04679,4.01548,1.2349999999999999,5.25048,2.6875,0.79125,3.47875,2.655,0.8195,3.4745,2.555,0.8405,3.3955,2.48225,0.822,3.30425,2.405,0.7977000000000001,3.2027,121.65,38.9125,160.5625,121.6,38.9,160.5,121.45,38.875,160.325,121.375,38.85,160.225,121.3,38.84,160.14,0.505,0.1575,0.6625,0.5275,0.1658,0.6933,0.5625,0.18055000000000002,0.74305,0.5765,0.185325,0.761825,0.5887,0.1899,0.7786,0.105325,0.038325000000000005,0.14365,0.1107,0.037450000000000004,0.14815,0.12304999999999999,0.037649999999999996,0.16069999999999998,0.131,0.039799999999999995,0.1708,0.1392,0.04227,0.18147,0.04845,0.0172,0.06565,0.053175,0.017455,0.07063,0.063075,0.01916,0.082235,0.068475,0.0207725,0.0892475,0.07490999999999999,0.02277,0.09767999999999999,0.005751249999999999,0.0024562499999999997,0.0082075,0.006475,0.0023079999999999997,0.008783,0.008320000000000001,0.00237325,0.010693250000000001,0.009585000000000002,0.002705,0.012290000000000002,0.01116,0.003143,0.014303,0.66452625,0.21548124999999999,0.8800074999999999,0.69785,0.22301300000000002,0.920863,0.756945,0.23973325,0.9966782499999999,0.7855599999999999,0.2486025,1.0341624999999999,0.81397,0.258083,1.072053,75.99398819835936,73.09220639846855,75.28344928878448,75.58931002364405,74.34544174554846,75.28807216708675,74.31187206468105,75.31287378784546,74.55264524935707,73.38713783797547,74.54671614324072,73.66588906482299,72.32453284519086,73.58097976232453,72.6270063140535,71.72970000000001,3368.84,14.871300000000002,3.24927,1.59133,0.20702800000000002,19.918928,74.65913828294374
705.149,20.000,0.93193,0.00019,-0.073042,3.39225,1.18423375,4.57648375,3.49135,1.159865,4.6512150000000005,3.705825,1.14924,4.855065,3.8502,1.1844125,5.0346125,3.99336,1.23123,5.22459,2.2475,0.64,2.8875,2.214,0.6735,2.8875,2.106,0.7,2.806,2.0285,0.6805,2.709,1.946,0.6547999999999999,2.6008,121.25,38.775,160.025,121.15,38.75,159.9,120.975,38.725,159.7,120.875,38.7,159.575,120.8,38.67,159.47,0.573,0.174875,0.747875,0.5965,0.18575,0.78225,0.63275,0.20435,0.8371000000000001,0.644,0.209125,0.853125,0.6527999999999999,0.21259999999999998,0.8654,0.15125,0.054237499999999994,0.2054875,0.15785,0.053024999999999996,0.21087499999999998,0.17242500000000002,0.053425,0.22585000000000002,0.181875,0.0559,0.23777500000000001,0.19119999999999998,0.05906,0.25026,0.07827500000000001,0.026787500000000002,0.10506250000000002,0.0846,0.027600000000000003,0.1122,0.098275,0.03005,0.128325,0.10515000000000001,0.0322,0.13735,0.11270000000000001,0.03437,0.14707,0.013425000000000001,0.005605000000000001,0.019030000000000002,0.0148325,0.0052699999999999995,0.0201025,0.01853,0.00533,0.02386,0.0209575,0.00596,0.0269175,0.02393,0.0067729999999999995,0.030703,0.81595,0.26150500000000004,1.077455,0.8537825000000001,0.27164499999999997,1.1254275,0.9219800000000001,0.293155,1.215135,0.9519825,0.30318500000000004,1.2551675,0.9806299999999999,0.312803,1.2934329999999998,70.22489123108033,66.87252633792852,69.41125151398434,69.86556880704394,68.37968672348103,69.50692070346601,68.62947135512701,69.70715150688203,68.88946495656862,67.64830235849925,68.97603773273742,67.96901608749431,66.56945025136902,67.96610006937274,66.90721513986423,59.31080000000001,3356.3700000000003,16.7383,4.59216,2.4990699999999997,0.46646299999999996,24.295993,68.89325330312698
881.436,25.000,0.89547,0.00017,-0.116732,3.3874625,1.1626425,4.550105,3.48725,1.1491275,4.6363775,3.7299249999999997,1.158995,4.88892,3.8616249999999996,1.1950425,5.0566675,4.03123,1.24011,5.27134,1.86125,0.51075,2.372,1.82825,0.54725,2.3754999999999997,1.72,0.57775,2.2977499999999997,1.641,0.55825,2.19925,1.558,0.5318999999999999,2.0899,120.8125,38.625,159.4375,120.7,38.625,159.325,120.475,38.575,159.05,120.35,38.525,158.875,120.2,38.5,158.7,0.6155,0.18425,0.7997500000000001,0.64,0.19767500000000002,0.8376750000000001,0.67625,0.219525,0.895775,0.6855,0.224,0.9095,0.6926,0.22669999999999998,0.9193,0.1955,0.069,0.2645,0.20305,0.0678,0.27085000000000004,0.219375,0.06845,0.287825,0.22925,0.071225,0.300475,0.2389,0.07436,0.31326,0.1071375,0.0357,0.1428375,0.115,0.037024999999999995,0.152025,0.13075,0.040475000000000004,0.17122500000000002,0.13867500000000002,0.04285,0.18152500000000002,0.1466,0.04553,0.19213000000000002,0.0247625,0.010135,0.0348975,0.027024999999999997,0.0095425,0.036567499999999996,0.0329,0.0095425,0.0424425,0.036774999999999995,0.010515,0.04729,0.041280000000000004,0.011800000000000001,0.05308,0.9429000000000001,0.299085,1.2419850000000001,0.985075,0.3120425,1.2971175000000004,1.059275,0.3379925,1.3972674999999999,1.0902,0.34859,1.43879,1.11938,0.35839,1.47777,65.27733587867218,61.60456057642476,64.39288719267947,64.96967235997259,63.34874255910654,64.57973159717604,63.84083453305327,64.94966604288557,64.1090557105207,62.87837094111172,64.2588714535701,63.21283856573926,61.873537136629196,63.25511314489801,62.20859809036588,48.555899999999994,3343.2,17.8891,5.86586,3.35393,0.83746,27.946349999999995,64.01229498664406
