EFPD,Burnup,k-eff,std-dev,rho,Pf11/FA%,Pf12/FA%,Pf1tot/FA%,Pf21/FA%,Pf22/FA%,Pf2tot/FA%,Pf31/FA%,Pf32/FA%,Pf3tot/FA%,Pf41/FA%,Pf42/FA%,Pf4tot/FA%,Pf51/FA%,Pf52/FA%,Pf5tot/FA%,U235_11,U235_12,U235_1tot,U235_21,U235_22,U235_2tot,U235_31,U235_32,U235_3tot,U235_41,U235_42,U235_4tot,U235_51,U235_52,U235_5tot,U238_11,U238_12,U238_1tot,U238_21,U238_22,U238_2tot,U238_31,U238_32,U238_3tot,U238_41,U238_42,U238_4tot,U238_51,U238_52,U238_5tot,PU239_11,PU239_12,PU239_1tot,PU239_21,PU239_22,PU239_2tot,PU239_31,PU239_32,PU239_3tot,PU239_41,PU239_42,PU239_4tot,PU239_51,PU239_52,PU239_5tot,PU240_11,PU240_12,PU240_1tot,PU240_21,PU240_22,PU240_2tot,PU240_31,PU240_32,PU240_3tot,PU240_41,PU240_42,PU240_4tot,PU240_51,PU240_52,PU240_5tot,PU241_11,PU241_12,PU241_1tot,PU241_21,PU241_22,PU241_2tot,PU241_31,PU241_32,PU241_3tot,PU241_41,PU241_42,PU241_4tot,PU241_51,PU241_52,PU241_5tot,PU242_11,PU242_12,PU242_1tot,PU242_21,PU242_22,PU242_2tot,PU242_31,PU242_32,PU242_3tot,PU242_41,PU242_42,PU242_4tot,PU242_51,PU242_52,PU242_5tot,PU_11tot,PU_12tot,PU_1tot,PU_21tot,PU_22tot,PU_2tot,PU_31tot,PU_32tot,PU_3tot,PU_41tot,PU_42tot,PU_4tot,PU_51tot,PU_52tot,PU_5tot,PU_11qual,PU_12qual,PU_1qual,PU_21qual,PU_22qual,PU_2qual,PU_31qual,PU_32qual,PU_3qual,PU_41qual,PU_42qual,PU_4qual,PU_51qual,PU_52qual,PU_5qual,U235,U238,PU239,PU240,PU241,PU242,PUtot,PUqual
0,0.000,1.09472,0.00023,0.086524,3.2947499999999996,1.22606375,4.520813749999999,3.40805,1.161,4.56905,3.7263499999999996,1.1314825000000002,4.8578325,3.959725,1.1917024999999999,5.1514275000000005,4.2454,1.275,5.5204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.52566,0.100,1.06614,0.00025,0.062037,3.2875625,1.22228125,4.50984375,3.3987499999999997,1.1605175,4.5592675,3.74245,1.13435,4.876799999999999,3.974975,1.19379,5.1687650000000005,4.22874,1.2731599999999998,5.5019,5.035,1.61,6.6450000000000005,5.035,1.61075,6.64575,5.0325,1.611,6.6434999999999995,5.0325,1.61075,6.64325,5.031,1.611,6.6419999999999995,139.25,44.55,183.8,139.2,44.55,183.75,139.2,44.55,183.75,139.2,44.55,183.75,139.2,44.55,183.75,0.002475,0.000843125,0.0033181250000000003,0.002625,0.0008562499999999999,0.00348125,0.0029474999999999996,0.0009167499999999999,0.0038642499999999996,0.0031325,0.00097075,0.00410325,0.003342,0.001035,0.004377,6.925e-06,2.55625e-06,9.48125e-06,7.7025e-06,2.5875e-06,1.029e-05,9.607499999999999e-06,2.8900000000000003e-06,1.24975e-05,1.0855e-05,3.2275e-06,1.40825e-05,1.238e-05,3.6719999999999997e-06,1.6052e-05,2.7900000000000002e-08,1.051875e-08,3.841875e-08,3.285e-08,1.098e-08,4.383e-08,4.6075e-08,1.346e-08,5.9535e-08,5.52e-08,1.60725e-08,7.127249999999999e-08,6.702e-08,1.95e-08,8.652e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024819529000000002,0.00084569176875,0.00332764466875,0.00263273535,0.00085884848,0.00349158383,0.002957153575,0.0009196534599999999,0.0038768070349999998,0.0031434102,0.0009739935725,0.0041174037725,0.0033544470200000003,0.0010386914999999997,0.00439313852,99.71986172662663,99.6964888574245,99.71392171648014,99.70618581165023,99.6974460500879,99.70403603341238,99.67355178704236,99.68428760111445,99.67609852936619,99.65291834963188,99.6669821453057,99.65624521465365,99.62893973505057,99.64460092337332,99.63264258737736,139.53199999999998,3859.15,0.07671700000000001,0.000239382,1.09242e-06,0.0,0.07695747442,99.68752298355376
35.2566,1.000,1.05663,0.00022,0.053595,3.2992,1.22734375,4.52654375,3.4126499999999997,1.1620275,4.5746775,3.732425,1.1311325,4.863557500000001,3.954075,1.1877975,5.1418725,4.20084,1.26643,5.46727,4.91125,1.565,6.47625,4.9075,1.56725,6.47475,4.895,1.56875,6.463749999999999,4.885,1.5665,6.451499999999999,4.874,1.563,6.436999999999999,139.125,44.525,183.65,139.125,44.525,183.65,139.125,44.525,183.65,139.125,44.525,183.65,139.1,44.52,183.62,0.0578,0.019587499999999997,0.0773875,0.061175,0.019932500000000002,0.0811075,0.068725,0.0213975,0.0901225,0.072725,0.022539999999999998,0.09526499999999999,0.07737999999999999,0.02402,0.10139999999999999,0.00098825,0.0003805,0.00136875,0.001083,0.00037075000000000004,0.00145375,0.00133125,0.0003955,0.00172675,0.0014937499999999999,0.000438,0.0019317499999999999,0.001688,0.0004971999999999999,0.0021852,4.12e-05,1.61125e-05,5.73125e-05,4.7875e-05,1.648e-05,6.4355e-05,6.6275e-05,1.9102500000000002e-05,8.53775e-05,7.897500000000001e-05,2.2655000000000002e-05,0.00010163000000000001,9.438e-05,2.733e-05,0.00012171,2.2375e-07,1.0191250000000001e-07,3.2566250000000004e-07,2.685e-07,9.8375e-08,3.66875e-07,4.0700000000000003e-07,1.1085e-07,5.1785e-07,5.15e-07,1.385e-07,6.535000000000001e-07,6.549000000000001e-07,1.785e-07,8.334e-07,0.05882967375,0.019984214412499996,0.0788138881625,0.0623061435,0.020319828375,0.08262597187500001,0.070122932,0.021812213349999998,0.09193514535,0.07429824,0.0230007935,0.09729903349999999,0.07916303489999998,0.024544708499999998,0.10370774339999998,98.24973744648719,98.01486110831628,98.19018171066621,98.18453937852854,98.09384032260559,98.162234173418,98.00645529197209,98.09871037227866,98.02834341197895,97.8825339604276,97.99661911664047,97.90950287291393,97.74764206267186,97.8622337274855,97.77476268951389,135.80700000000002,3856.62,1.7864799999999998,0.033584199999999995,0.00158566,9.5916e-06,1.8216594515999998,98.06882391936094
176.283,5.000,1.02941,0.00021,0.028570,3.3244124999999998,1.22862125,4.55303375,3.4368000000000003,1.16916,4.6059600000000005,3.7148250000000003,1.128495,4.84332,3.921325,1.1789775,5.1003025,4.1328499999999995,1.2445,5.37735,4.4,1.375,5.775,4.3825,1.3885,5.771000000000001,4.33,1.3975,5.7275,4.2925,1.3875,5.680000000000001,4.25,1.375,5.625,138.875,44.425,183.3,138.8,44.425,183.22500000000002,138.75,44.4,183.15,138.75,44.4,183.15,138.7,44.4,183.1,0.26725,0.088375,0.35562499999999997,0.2815,0.0906,0.3721,0.3095,0.09734999999999999,0.40685,0.324,0.1015,0.4255,0.3388,0.10679999999999999,0.4456,0.0198625,0.0075775,0.027440000000000003,0.02138,0.0072975,0.0286775,0.0251,0.0075175,0.0326175,0.02745,0.0081525,0.035602499999999995,0.03018,0.008990999999999999,0.039171,0.004047500000000001,0.00157375,0.005621250000000001,0.0046025,0.00156675,0.006169249999999999,0.0059524999999999995,0.0017504999999999999,0.007703,0.0068925,0.0019844999999999997,0.008877,0.007985,0.002303,0.010288,0.000116025,5.33375e-05,0.0001693625,0.000135825,4.9575e-05,0.0001854,0.000191,5.2900000000000005e-05,0.00024390000000000002,0.0002342,6.3e-05,0.0002972,0.0002888,7.761e-05,0.00036641,0.291276025,0.0975795875,0.3888556125,0.30761832499999997,0.099513825,0.40713215,0.34074350000000003,0.10667089999999999,0.44741440000000005,0.3585767,0.11170000000000001,0.4702767,0.3772538,0.11817161,0.49542541,91.75145808859483,90.56709734502618,91.45425411597986,91.50950288803503,91.04262648933452,91.39538599444921,90.83078620722038,91.26200303925438,90.93359534248337,90.35723737766564,90.86839749328558,90.47864799595642,89.8069151324652,90.37703725962606,89.94290381674206,120.539,3847.6,8.1084,0.646281,0.146255,0.004627310000000001,8.90556331,91.04870425091616
352.566,10.000,0.99197,0.00023,-0.008095,3.359525,1.2322775,4.5918025,3.44965,1.1755725,4.6252225,3.703875,1.12835,4.832225,3.8671499999999996,1.170585,5.037735,4.05311,1.23161,5.28472,3.83,1.1655,4.9955,3.805,1.1915,4.9965,3.72,1.2115,4.9315,3.66,1.196,4.856,3.596,1.176,4.772,138.5,44.2875,182.7875,138.4,44.275,182.675,138.3,44.25,182.55,138.25,44.25,182.5,138.2,44.24,182.44,0.454,0.14575,0.59975,0.476,0.1514,0.6274,0.5155,0.16394999999999998,0.6794499999999999,0.534,0.16965,0.70365,0.5529,0.1768,0.7297,0.0590125,0.022175,0.0811875,0.062525,0.02129,0.083815,0.07085,0.0214125,0.0922625,0.076325,0.0228,0.099125,0.08202,0.02462,0.10664,0.0213625,0.00796875,0.02933125,0.023725000000000003,0.0079875,0.031712500000000005,0.02915,0.0086875,0.037837499999999996,0.03265,0.009612500000000001,0.0422625,0.03665,0.01083,0.04748,0.00130625,0.0005855,0.0018917499999999998,0.0014865,0.0005417499999999999,0.0020282499999999997,0.0019684999999999998,0.0005507499999999999,0.00251925,0.0023362500000000002,0.000637,0.00297325,0.002784,0.0007593,0.0035433,0.5356812499999999,0.17647924999999998,0.7121605,0.5637364999999999,0.18121925000000003,0.7449557499999999,0.6174685,0.19460075,0.8120692499999999,0.64531125,0.2026995,0.84801075,0.6743539999999999,0.2130093,0.8873633,84.75189303340375,82.58761299132902,84.21556657523129,84.43661178582549,83.54520835948719,84.21976741571564,83.4860401785678,84.24941836041228,83.6689728123556,82.75076561891646,83.6953223860937,82.9765424553875,81.98957817407475,83.00107084526357,82.23238441346403,103.872,3835.64,13.5697,1.85695,0.72938,0.04876029999999999,16.2047903,83.73881888493182
528.848,15.000,0.95902,0.00023,-0.042731,3.3659125,1.21885875,4.58477125,3.4639,1.1670175,4.630917500000001,3.7047,1.1346675,4.8393675,3.865125,1.176175,5.0413,4.04305,1.2324899999999999,5.2755399999999995,3.325,0.983,4.308,3.29,1.018,4.308,3.195,1.0485,4.2435,3.12,1.03,4.15,3.04,1.005,4.045,138.0,44.1375,182.1375,137.95,44.15,182.1,137.8,44.1,181.9,137.75,44.1,181.85,137.6,44.06,181.66,0.586375,0.18325,0.769625,0.61325,0.19275,0.8059999999999999,0.6575,0.21075,0.86825,0.67725,0.216975,0.894225,0.695,0.2241,0.9190999999999999,0.104175,0.038737499999999994,0.1429125,0.10934999999999999,0.03735,0.1467,0.121825,0.037075000000000004,0.1589,0.129575,0.039075000000000006,0.16865,0.1382,0.041909999999999996,0.18011,0.0483125,0.0173875,0.06570000000000001,0.052950000000000004,0.01747,0.07042000000000001,0.062775,0.018914999999999998,0.08169,0.06885,0.0205675,0.0894175,0.07529000000000001,0.02264,0.09793000000000002,0.00473875,0.00208625,0.0068249999999999995,0.0053,0.00191975,0.0072197500000000005,0.0067625,0.00190425,0.00866675,0.0078225,0.0021582499999999996,0.00998075,0.009098,0.0025139999999999997,0.011612,0.74360125,0.24146125000000002,0.9850625,0.7808499999999999,0.24948975,1.0303397499999998,0.8488625,0.26864425,1.11750675,0.8834974999999999,0.27877575,1.16227325,0.917588,0.291164,1.2087519999999998,78.85610735592496,75.89209448721067,78.12956030708712,78.53621053979639,77.25768293086189,78.22662379084181,77.45659632743819,78.4494736068239,77.69528014036604,76.65556495632416,77.83137521825338,76.93758761117492,75.74205416810159,76.96693272519954,76.03710273075039,89.31500000000001,3822.16,17.35,3.2204099999999998,1.5896400000000002,0.16968100000000003,22.329731000000002,77.69909991302627
