U235,U238,PU239,PU240,PU241,PU242
1.214E+05,3.403E+06,6.724E+01,2.130E-01,9.126E-04,0.000E+00
1.177E+05,3.401E+06,1.562E+03,3.195E+01,1.428E+00,9.645E-03
1.023E+05,3.393E+06,6.972E+03,6.282E+02,1.353E+02,4.915E+00
8.559E+04,3.382E+06,1.140E+04,1.815E+03,6.795E+02,5.378E+01
7.100E+04,3.371E+06,1.419E+04,3.149E+03,1.463E+03,1.912E+02
5.826E+04,3.359E+06,1.592E+04,4.488E+03,2.307E+03,4.381E+02
4.720E+04,3.346E+06,1.696E+04,5.762E+03,3.109E+03,7.976E+02
