EFPD,Burnup,k-eff,std-dev,rho,Pf1%,Pf2%,Pf3%,Pf4%,Pf5%,Pf1/FA%,Pf2/FA%,Pf3/FA%,Pf4/FA%,Pf5/FA%,U235,U238,PU239,PU240,PU241,PU242
0,0.000,1.28271,0.00024,0.220401,54.00878,13.842190000000002,15.07696,16.000700000000002,1.0714046,6.7510975,3.4605475000000006,3.76924,4.0001750000000005,1.0714046,123.41139353003912,3402.628421613935,0.0,0.0,0.0,0.0
3.52574,0.100,1.24488,0.00026,0.196710,53.39254,13.918850000000003,15.285189999999998,16.28832,1.1151322,6.6740675,3.4797125000000007,3.8212974999999996,4.07208,1.1151322,121.445,3402.6899999999996,0.06598903,0.00025458512,1.4565300000000004e-06,0.0
35.2574,1.000,1.22931,0.00025,0.186536,52.87859,13.944600000000001,15.379789999999998,16.635849999999998,1.161167,6.60982375,3.4861500000000003,3.8449474999999995,4.1589624999999995,1.161167,117.691,3400.9899999999993,1.5136330000000002,0.037502713999999986,0.0022344475,2.229556e-05
176.287,5.000,1.18669,0.00022,0.157320,51.52334,14.27637,15.707860000000002,17.221729999999997,1.270727,6.4404175,3.5690925,3.9269650000000005,4.305432499999999,1.270727,102.57500000000002,3392.88,6.525388,0.67420347,0.179190608,0.009485934334000001
352.574,10.000,1.13651,0.00031,0.120113,49.80331999999999,14.586570000000002,16.14813,18.045749999999998,1.4162389999999998,6.225414999999999,3.6466425000000005,4.0370325,4.5114374999999995,1.4162389999999998,86.32500000000002,3382.0600000000004,10.431140000000003,1.8516369,0.7749097599999999,0.08874488920000001
528.861,15.000,1.09038,0.00024,0.082889,48.43148,14.88385,16.57235,18.56085,1.5514480000000002,6.053935,3.7209625,4.1430875,4.6402125,1.5514480000000002,72.37499999999999,3370.75,12.83438,3.1179345,1.52189233,0.28447880870000003
705.149,20.000,1.04827,0.00027,0.046047,47.20415,15.135010000000001,16.88289,19.08325,1.6947360000000002,5.90051875,3.7837525000000003,4.2207225,4.7708125,1.6947360000000002,60.384,3358.23,14.338950000000002,4.350508,2.2552915000000002,0.6031218869999999
881.436,25.000,1.00881,0.00028,0.008733,45.9255,15.288850000000002,17.31268,19.617469999999997,1.855471,5.7406875,3.8222125000000005,4.32817,4.904367499999999,1.855471,50.147000000000006,3345.52,15.257839999999998,5.479647000000001,2.9104626000000002,1.034234288
