U235,U238,PU239,PU240,PU241,PU242
1.214E+05,3.403E+06,7.018E+01,2.285E-01,1.027E-03,0.000E+00
1.177E+05,3.401E+06,1.630E+03,3.359E+01,1.573E+00,1.063E-02
1.024E+05,3.392E+06,7.254E+03,6.499E+02,1.471E+02,5.322E+00
8.586E+04,3.381E+06,1.186E+04,1.863E+03,7.225E+02,5.673E+01
7.148E+04,3.369E+06,1.481E+04,3.207E+03,1.551E+03,1.993E+02
5.896E+04,3.357E+06,1.668E+04,4.556E+03,2.438E+03,4.519E+02
4.810E+04,3.344E+06,1.782E+04,5.832E+03,3.285E+03,8.157E+02
